시행상태,지역,지원기관,공고명,신청가능일,지원대상,사업개요,최대지원한도,보증기간,상환방법,적용금리,우대사항,상세링크,출처,수집일
시행중,전국,17개 신용보증재단(대표번호 1588-7365),코로나피해 소상공인 분할상환 특례보증,2025.7.30 ~ 한도소진 시까지,소상공인등,"코로나피해 소상공인의 기존대출의 상환부담 완화를 위해 장기저리의 분할상환 보증부대출 전환 상품
지원대상 : '20.4.~'25.6월 중 사업을 영위하고, 동기간 지역신보 보증부대출 이용기업으로 아래 사항 중 어느 하나에 해당하는 기업
1) '20~'23년 중 연도말 매출액 대비 '24년말 매출액 감소한 기업
2) '20~'23년 중 발생한 채무 2건 이상 보유기업
3) 접수일 기준 중저신용자(NICE 기준 839점 이하)인 기업
4) 접수일 기준 최근 1년 이내 신용평점 100점 이상 하락한 기업
보증제한기업
1) 휴업 또는 폐업한 기업
2)현재 연체중인 기업
3)신용도 판단정보 보유기업 및 공공정보 중 체납정보 보유기업
4)보증신청인의 자가사업장 또는 자가주택에 대한 권리침해가 있는 기업
5)신용보증 대위변제 관계자(신보,기보 포함)
6)심사기준일 현재 국세 및 지방세 체납액 보유 기업",1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=281,KOREG Official,2026-06-19
시행중,전국,17개 신용보증재단(대표번호 1588-7365),소상공인 비즈플러스 카드보증,2026.3.23 ~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층","업력 6개월 이상의 중저신용(개인신용평점 595점 ~ 964점) 소기업 소상공인 중 매출요건을 만족하는 개인사업자를 대상으로
최대 1천만원 한도의 신용카드를 발급 지원합니다.
* 매출 요건 : 연매출 12백만원 또는 최근 2개월 매출액 2백만원 이상",1천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=276,KOREG Official,2026-06-19
시행중,전국,17개 신용보증재단(대표번호 1588-7365),미래성과연동 특례보증,2025.2.24 ~ 보증 한도 시까지,"성장

 , 

 소상공인등",미래 성장가능성이 높은 기업을 대상으로 성장 목표를 제시하고 성장 단계별 우대자금을 지원하는 보증상품,8억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=274,KOREG Official,2026-06-19
시행중,전국,17개 신용보증재단(대표번호 1588-7365),KB 소상공인컨설팅과 함께하는 금융지원 협약보증,2026.1.2 ~ 한도소진시까지,"성장

 , 

 소상공인등",국민은행 KB소상공인컨설팅센터로부터 본 협약보증을 추천받은 소기업 소상공인인 개인기업을 대상으로 금융 지원하는 상품,1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=272,KOREG Official,2026-06-19
시행중,전북,"경북신용보증재단, 부산신용보증재단, 울산신용보증재단, 전남신용보증재단, 전북신용보증재단",소상공인 희망채움기금 금융지원 협약보증,2026.4.20 ~ 한도소진시 까지,소상공인등,"원전 주변지역 소상공인을 보증지원하여 경영안정 지원 및 경영안정 활성화를 도모하는 금융상품
지원대상 : 
신용보증신청 접수일 현재 아래 요건을 모두 충족하는 소기업·소상공인
- 사업자등록 후 가동(영업)중이며,
대표자 개인신용평점이 NICE기준 
755점 이상 또는 KCB기준 670점 
이상일 것(舊. 6등급)
-
주사업장이 원전 사업소 인근지역인 경주, 울진, 기장, 울주, 영광,
고창 소재일 것",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=288,KOREG Official,2026-06-19
시행중,전국,17개 지역신용보증재단(대표번호 1588-7365),프랜차이즈 가맹점 금융지원 협약보증,2025.11.7(금) ~,소상공인등,"(일반) 기업은행과 '프랜차이즈 
BaaS
서비스
’
를 가입한 가맹점]
(우대) 
BaaS
가맹점주 중 가맹본사의 우수 가맹점 추천을 받은 기업
- 
업력
1
년 미만인 경우

‘
창업든든
’, 1
년 이상인 경우
‘
경영안심
’
으로 구분 지원",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=286,KOREG Official,2026-06-19
시행중,전국,17개 지역신용보증재단(대표번호 1588-7365),골목상권 살리기 금융지원 협약보증,2025.11.7(금) ~,소상공인등,"개인신용평점이 710점 이상이며 아래의 요건 중 어느 하나에 해당하는 기업
(일반) 상권활성화구역, 자율상권구역 및 전통시장 소재 기업
(우대) 디지털온누리상품권가맹점, 제로페이 가맹점",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=285,KOREG Official,2026-06-19
시행중,경남,경남신용보증재단,한국은행 중소기업 지원자금 특별보증,~한도 소진시,소상공인등,"경남도에서 제조업을 영위 중인 소기업 등
 ※ 소기업 등 : 「중소기업기본법」제2조에 따른 중소기업 및「소상공인기본법」제2조에 따른 소상공인을 말함(신용보증규정 제3조 제11호)",3억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=284,KOREG Official,2026-06-19
시행중,경남,경남신용보증재단,경상남도 소상공인 특별보증,~한도 소진시,소상공인등,"신용보증신청 접수일 기준 다음을 충족 하는 소상공인
➀현재 사업자 등록 후 6개월 이상(또는 180일 이상) 가동(영업) 중
➁대표자 개인신용평점이 780점 이상
➂재단 기보증잔액 5천만원 이하로 이용 중인 소상공인",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=283,KOREG Official,2026-06-19
시행중,경기,경기신용보증재단,경기 소상공인 힘내GO 카드 보증,~한도 소진시,소상공인등,"경기도 내 사업을 영위중인 소상공인(신용점수 595점 이상)
- 단, ‘법인기업’ 및 ‘공동대표인 개인사업자’는 지원대상에서 제외
(연체, 세금체납, 신용도판단정보 등 기본요건에 저촉되는 경우 이용이 제한될 수 있음)
- 신청금액을 포함하여 현재 보증기관 이용잔액이 1억원을 초과하는 경우 이용불가
(보증기관 : 신용보증기금, 기술보증기금, 지역신용보증재단)",1천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=282,KOREG Official,2026-06-19
시행중,세종,세종신용보증재단,금융회사 출연부 협약보증,금융회사별 상이,소상공인등,"특별출연 금융회사를 대출은행으로 선택한 중소기업, 소상공인 지원",2억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=280,KOREG Official,2026-06-19
시행중,세종,세종신용보증재단,경영지원패키지 우대보증,상시,소상공인등,재단 시행 교육 컨설팅 수료 후 BASA신청 확인서를 제출한 소상공인,1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=279,KOREG Official,2026-06-19
시행중,세종,세종신용보증재단,중소기업 성장동행 우대보증,상시,"성장

 , 

 소상공인등","세종일자리경제진흥원으로부터 중소기업육성자금 중 ""경영안정자금"" 융자 추천을 받은 중소기업 지원",2억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=278,KOREG Official,2026-06-19
시행중,세종,세종신용보증재단,세종특별자치시 소상공인자금,세종신용보증재단 공고 참조,소상공인등,세종시 소재 소상공인 대상 지원,7천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=277,KOREG Official,2026-06-19
시행중,전국,16개 신용보증재단(대표번호 1588-7365),햇살론 플러스,2025.5.19 ~ 보증 한도 시까지,"소상공인등

 , 
 저신용·취약계층

 , 
 창업","저소득 저신용 자영업자에 대해 특례운용을 통해 서민 금융비용 부담 경감
저신용자 : 연간 소득 4천5백만원 이하인 자로서 개인신용평점 744점 이하
저소득자 : 연간 소득 3천5백만원 이하",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=275,KOREG Official,2026-06-19
시행중,경북,경북신용보증재단,포항시 소상공인 특례보증,~한도 소진시까지,"소상공인등

 , 
 청년

 , 
 창업",신청일 현재 포항시 관내에 사업장(법인의 경우 본점 포함)이 소재하고 사업자 등록을 필한 소상공인,,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=271,KOREG Official,2026-06-19
시행중,경북,경북신용보증재단,영천시 소상공인 특례보증,~한도 소진시까지,"소상공인등

 , 
 청년

 , 
 저신용·취약계층

 , 
 창업","신청일 현재 영천시 관내에 사업장(법인의 경우 본점 포함)이 소재하고 신용평점 879점 이하인 소상공인
(단, 청년창업자*는 개인신용평점 제한사항과 관계없이 지원가능)
①일반 대상
②우대 대상
* 청년창업자 : 만19세 이상에서 만 39세 이하로 창업 후 12개월이 지나지 않은 자",,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=270,KOREG Official,2026-06-19
시행중,경북,경북신용보증재단,청도군 중소기업 특례보증,~한도 소진시까지,소상공인등,"① 신청일 기준 청도군 관내에 사업장 소재지를 두고 있는 중소기업*
* 중소기업 범위에 소상공인은 제외, 단 제조업인 경우 소상공인 포함 운용
② 청도군으로부터 본 특례보증 추천 대상*으로 선정된 업체
* 본 특례보증 융자 추천 확인서는 청도군청 경제산림과에서 발급",1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=269,KOREG Official,2026-06-19
시행중,경북,경북신용보증재단,2024년 의성군 청년기업 융자지원 특례보증,~한도 소진시,소상공인등,"·대표자의 나이가 만19세 이상 만45세 이하이면서 의성군에 사업장(법인의 경우 본점 포함)을 두고 6개월 이상 의성군에 거주중인 중소기업·소상공인
·매월 20일 경 의성군 「청년발전기금운용심의위원회」에서 융자대상자로 선정된 자",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=268,KOREG Official,2026-06-19
시행중,대구,대구신용보증재단,대구 기업 상생 상거래 담보어음 특별보증,~한도 소진시까지,소상공인등,대구광역시 내 소재하고 영업 중이며 대표자(대표이사) 개인 신용평점 595점 이상,8억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=267,KOREG Official,2026-06-19
시행중,대구,대구신용보증재단,"운송업(화물, 택시) 및 건설장비 운영업 저금리 상생 특별보증",~한도 소진시까지,소상공인등,"대구광역시 내 소재하고 영업 중이며 대표자의 개인신용평점이 595점 이상이고, 도로 화물 운송업 등(택시 운송업, 일반 화물자동차 운송업, 개인 화물자동차 운송업, 건설장비 운영업)을 영위하고 있는 기업",2억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=266,KOREG Official,2026-06-19
시행중,대구,대구신용보증재단,대구 의료 전문업종 특별보증,~한도 소진시까지,소상공인등,"대구광역시 내 소재하고 영업 중이며 대표자의 개인신용평점이 595점 이상이고 의료업(병원, 의원, 약국, 수의업)을 영위하고 있는 기업",4억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=265,KOREG Official,2026-06-19
시행중,대구,대구신용보증재단,대구시 중소기업 시설 및 경쟁력 강화 특례보증,~한도 소진시까지,소상공인등,대구광역시 내 소재하고 영업중인 중소기업(소상공인 제외),,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=264,KOREG Official,2026-06-19
시행중,대구,대구신용보증재단,대구 긴급금융 특별보증,~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층","대구광역시 내 소재하고 영업중인 중소기업, 소상공인",2천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=263,KOREG Official,2026-06-19
시행중,대구,대구신용보증재단,대구 전통시장(상권) 활성화 특별보증,~한도 소진시까지,소상공인등,대구광역시 전통시장(상점가) 내 영업중이며 대표자의 개인신용평점이 595점 이상일 것,5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=262,KOREG Official,2026-06-19
시행중,대구,대구신용보증재단,2024 대구 성장지원 특별보증,~한도 소진시까지,소상공인등,"① 경영애로 및 성실상환기업 지원 : 대구광역시 내 소재하고 영업 중이며 대표자(대표이사) 개인신용평점 595점 이상
② 강소기업 지원 : 대구광역시 내 소재하고 영업 중이며, 사업자의 업력이 5년 이상이고, 대표자의 개인신용평점이 840점 이상일 것
③ 전문업종 및 지역 특화산업 지원 : 대구광역시 내 소재하고 영업 중이며 대표자 개인신용평점 595점 이상이고 별도로 정하는 업종 영위중인 기업",,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=261,KOREG Official,2026-06-19
시행중,전남,전남신용보증재단,금융버스 가드림 특별보증,~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층","보증신청 접수일 현재 사업자등록 후 가동(영업)중이면서 ""금융버스""을 통해 보증신청한 소기업·소상공인",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=260,KOREG Official,2026-06-19
시행중,전남,전남신용보증재단,2024 더 키움 성장지원 특별보증,~한도 소진시까지,소상공인등,"전라남도에서 사업을 영위하고 있는 사업자로 신용평점 745점이상이며 다음중 어느 하나에 해당하는 개인사업자
1. 정상상환기업
2. 건전성장기업",1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=259,KOREG Official,2026-06-19
시행중,전남,전남신용보증재단,2024 전남형 앵커스토어 특별보증,~한도 소진시까지,소상공인등,`2024년 전라남도 로컬 앵커스토어 육성 지원사업`에 선정된 소상공인,1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=258,KOREG Official,2026-06-19
시행중,전남,전남신용보증재단,지방소멸 위기 대응 특별보증,~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층",전라남도 내 사업을 영위 중이며 기존 재단 보증서 대출 이용중인 중소기업 및 소상공인,3천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=257,KOREG Official,2026-06-19
시행중,전남,전남신용보증재단,시군추천 특별보증,~한도 소진시까지,소상공인등,재원 출연한 시군이 추천한 소상공인,,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=256,KOREG Official,2026-06-19
시행중,전남,전남신용보증재단,금융기관 특별출연 협약보증,~한도 소진시까지,소상공인등,전라남도 내 사업을 영위 중인 중소기업 및 소상공인,,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=255,KOREG Official,2026-06-19
시행중,부산,부산신용보증재단,부산시 미래 성장기업 지원 협약보증,~한도 소진시까지,소상공인등,개인신용평점 595점 이상인 부산광역시 소재 중소기업 및 소상공인,8억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=252,KOREG Official,2026-06-19
시행중,부산,부산신용보증재단,부산시 새희망전환 특례보증,한도 소진시까지 또는 2024. 12. 31. 까지,소상공인등,"① 부산광역시 소상공인
② 부산신용보증재단 보증잔액 보유기업
③ 재단의 보증사고기업이 아닐 것",1.5억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=251,KOREG Official,2026-06-19
시행중,제주,제주신용보증재단,2024년 중소기업은행 특별출연부 「전통시장·골목상권 활성화 특별보증」,~한도 소진시까지,소상공인등,"신용보증신청 접수일 현재 사업자등록 후 가동(영업) 중이며, 아래의 조건 중 하나를 충족하는 소기업·소상공인
① 제주특별자치도내 전통시장 상점가 및 골목상권 소기업·소상공인
② 업력 5년 이상 사업을 영위중인 기업
③ 대표자 개인신용평점이 710점 이상인 소기업․소상공인",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=249,KOREG Official,2026-06-19
시행중,제주,제주신용보증재단,2024년 농협은행 특별출연부 민생경제활력제고를 위한 「중신용 소기업・소상공인 특별보증」,~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층","① 중신용 소기업․소상공인
② 경영애로를 겪고 있는 대표자 개인신용평점이 710점 이상인 법인기업으로 지원대상을 구분하여 Two-track으로 운영
1) Track 1
신용보증신청 접수일 현재 사업자등록 후 가동(영업)중이며, 대표자 개인신용평점*이 710점 이상 839점 이하인 소기업·소상공인으로 경영애로를 겪고 있는 기업 (개인기업에 한함)
2)Track 2
신용보증신청 접수일 현재 사업자등록 후 가동(영업)중이며, 경영애로를 겪고 있는 대표자 개인신용평점이 710점 이상인 법인 기업 (중소기업‧소상공인 포함)",,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=248,KOREG Official,2026-06-19
시행중,제주,제주신용보증재단,2024년 신한은행 특별출연부 「소기업・소상공인 내생애 첫 버팀목 특별보증」,~한도 소진시까지,소상공인등,"신용보증신청 접수일 현재 사업자등록 후 가동(영업) 중이며, 아래의 조건을 모두 충족하는 소기업․소상공인
① 대표자 개인신용평점이 710점 이상인 소기업․소상공인
② 협약은행에 재단의 신용보증서 잔액이 없는 소기업․소상공인",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=247,KOREG Official,2026-06-19
시행중,제주,제주신용보증재단,문화예술인보증,~한도 소진시까지,소상공인등,제주문화예술재단으로부터 「문화예술인 융자지원 추천서」를 발급받은 문화예술인,1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=246,KOREG Official,2026-06-19
시행중,제주,제주신용보증재단,보증서 대출금리 상한제 협약보증,~한도 소진시까지,소상공인등,신청일 현재 제주특별자치도 내에서 사업자 등록 후 영업중인 소기업·소상공인,5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=245,KOREG Official,2026-06-19
시행중,대전,대전신용보증재단,카카오뱅크 중소기업 회복성장 협약보증,~한도 소진시까지,소상공인등,대전광역시에 사업장을 두고 신청일 현재 영업중이며 카카오뱅크을 통해 보증부대출 신청한 기업(개인기업에 한함),2억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=244,KOREG Official,2026-06-19
시행중,대전,대전신용보증재단,2024년 우리은행 특별출연 협약보증,~한도 소진시까지,소상공인등,대전광역시에 사업장을 두고 신청일 현재 영업중이며 우리은행을 통해 보증부대출 신청한 기업,2억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=243,KOREG Official,2026-06-19
시행중,서울,서울신용보증재단,서울형 중·저신용자 지원 특별보증,~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층","서울시 소재 소기업 및 소상공인 중 아래 요건을 모두 충족하는 기업
① 업력 6개월 이상 개인사업자
② 대표자 개인신용평점 839점(구 4등급) 이하
※보증상대처 : 인터넷전문은행(카카오뱅크, 케이뱅크, 토스뱅크)",3천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=242,KOREG Official,2026-06-19
시행중,서울,서울신용보증재단,미래 유망기업 성장지원 보증,상시 운영,소상공인등,"서울시 소재 업력 6개월 이상의 중소기업 및 소상공인으로, 아래 요건 중 한 가지 이상 해당하는 기업
1) 서울형 산업 영위 기업 : 패션, 디자인, 소프트웨어 등
2) 지식서비스 산업 영위 기업 : 과학기술 서비스업, 영상제작업 등
3) 지식기반 제조업 영위 기업 : 신소재, 정밀기기 제조업 등
4) 미래 유망기업(정부인증기업) : 디자인혁신유망기업, 벤처기업 등
5) 중소벤처기업부 지정 수출유망중소기업 및 수출두드림기업
6) 지식재산(특허권, 실용신안권) 보유 및 사업화 기업
7) 정부(지방자치단체 포함) 과제 수행 기업",8억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=241,KOREG Official,2026-06-19
시행중,광주,광주신용보증재단,2024년 북구 중소기업 특례보증,~한도 소진시까지,"소상공인등

 , 
 청년

 , 
 저신용·취약계층",광주광역시 북구 관내 사업장 운영 소상공인,,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=240,KOREG Official,2026-06-19
시행중,경기,경기신용보증재단,중·저신용 소상공인 부채 상환연장 특례보증,~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층","접수일 현재 재단 보증서를 이용중인 경기도 소재 중·저신용(NICE개인신용평점 839점 이하) 소상공인
- 단, 아래 중 어느 하나에 해당하는 경우 지원대상 제외
① 보증부실(부실유보 포함) 상태인 기업
② 새출발기금 중개형 채무조정 신청 또는 확정된 기업 (단, 새출발기금 중개형 채무조정에 포함되지 않은 보증건에 대해서는 지원가능)
③ 휴·폐업 중인 기업
※ 아래 대출은행에 해당하지 않는 은행의 재단 보증부 대출도 본 상품 이용가능하나, 본 상품 이용 시 아래 7개 대출은행으로 은행 변경하여 진행 필요",1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=239,KOREG Official,2026-06-19
시행중,경기,경기신용보증재단,균형발전 기회UP 특례보증,~한도 소진시까지,소상공인등,"경기도 내 사업을 영위 중인 중소기업(음식숙박업, 소매업, 건설업 제외)
시군별 전략산업 영위기업, 경기북부 소재 기업 등에 해당되고 시군자금, 도자금, C2자금 중 어느 하나와 연계되는 기업",8억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=236,KOREG Official,2026-06-19
시행중,경기,경기신용보증재단,경기도 중소기업 기후위기 대응 특별보증,~한도 소진시까지,소상공인등,"(일반지원) 태양광 기업/에너지 효율화 기업/일회용품 대체제 제조기업/기후테크 육성기업
(특별지원) 경기RE100 적극 참여기업",,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=235,KOREG Official,2026-06-19
시행중,인천,인천신용보증재단,(전세피해) 소상공인 취약계층 특례보증,~한도 소진시까지,소상공인등,"전세사기 피해자* 중 인천에 사업장을 두고 영업중인 소상공인
*전세사기 피해자 : 전세피해확인서(주택도시보증공사)로 확인",3천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=234,KOREG Official,2026-06-19
시행중,인천,인천신용보증재단,2024-3단계 희망인천 소상공인 특례보증(티몬·위메프 등 피해기업),~한도 소진시까지,소상공인등,티몬·위메프 등 피해기업 중 인천 소재 소상공인,,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=233,KOREG Official,2026-06-19
시행중,인천,인천신용보증재단,2024 인천저축은행 협약보증,~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층",인천시 소재 소기업·소상공인,3천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=232,KOREG Official,2026-06-19
시행중,인천,인천신용보증재단,2024 하나은행 협약보증,~한도 소진시까지,소상공인등,인천시 소재 중소기업·소상공인,2억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=231,KOREG Official,2026-06-19
시행중,인천,인천신용보증재단,2024 국민은행 협약보증,~한도 소진시까지,소상공인등,인천시 소재 중소기업·소상공인,2억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=230,KOREG Official,2026-06-19
